"tract","Name","Household_Income_at_Age_35_rP_gP_pall"
34039038201,"Berkeley Heights, NJ",79477
26125152000,"Bloomfield Hills, MI",79472
6081605700,"Hillsborough Park, Hillsborough, CA",79389
9001045200,"Wilton, CT",79370
51013101601,"North Highland, Arlington, VA",79355
37119002800,"Eastover, Charlotte, NC",79351
27123040601,"North Oaks, MN",79345
34039036400,"Westfield, NJ",79335
17097865802,"Highland Park, IL",79315
6085509901,"Blossom Valley, Mountain View, CA",79303
6081613000,"Sharon Heights, Menlo Park, CA",79295
21067002304,"Lexington, KY",79294
36059411302,"Woodmere Park, Woodmere, NY",79261
48439113909,"Southlake, TX",79257
34025809502,"Morganville, Marlboro Township, NJ",79228
42045409701,"Villanova, PA",79225
1073010802,"Birmingham, AL",79203
25017363103,"Acton, MA",79192
36081091601,"Queens County, NY",79190
48201340400,"Clear Lake, Houston, TX",79188
42017105508,"Newtown, PA",79181
34003040001,"Oradell, NJ",79170
36059303301,"Williston Park, NY",79158
36059415201,"Merrick, NY",79152
38015011104,"Bismarck, ND",79138
36103158010,"Setauket- East Setauket, NY",79089
6037574602,"Bixby Hill, Long Beach, CA",79078
34003035200,"Woodcliff Lake, NJ",79072
17031802100,"Glenview, IL",79059
9001020300,"North Stamford, Stamford, CT",79040
39035183300,"Shaker Heights, OH",78993
25021457200,"Needham, MA",78987
42091201203,"Spring House, PA",78956
31055007405,"West Omaha, Omaha, NE",78947
36119013201,"Briarcliff Manor, NY",78940
34035050801,"Bridgewater, NJ",78928
25017373900,"Oak Hill, Newton, MA",78891
36047062000,"Kings County, NY",78884
42029303100,"West Chester, PA",78872
36059517500,"Glen Head, NY",78860
51059481600,"Oakton, VA",78827
36103134903,"Smithtown, NY",78825
36119005002,"Eastchester, NY",78801
25021401200,"Chestnut Hill, Brookline, MA",78801
36059302300,"Albertson, NY",78787
36055012306,"Pittsford, NY",78774
24031701220,"Rockville, MD",78748
37119002905,"Myers Park, Charlotte, NC",78743
51059491000,"Centreville, VA",78734
6013352101,"Rheem Valley Manor, Moraga, CA",78714
1097003502,"Country Club, Mobile, AL",78712
13121009801,"Buckhead, Atlanta, GA",78701
17031800700,"Wilmette, IL",78662
36119008302,"Rye Brook, NY",78647
34021004203,"Princeton, NJ",78614
24031706013,"Bethesda, MD",78609
36119010701,"Scarsdale, NY",78607
48029191504,"North Central, Shavano Park, TX",78592
31055007443,"West Omaha, Omaha, NE",78590
10003011800,"Wilmington, DE",78582
36119009702,"White Plains, NY",78552
9001035400,"New Canaan, CT",78552
47037018601,"Nashville, TN",78550
34025803202,"Holmdel, NJ",78513
34025803800,"Rumson, NJ",78509
17031800600,"Kenilworth, IL",78478
17043844502,"Oak Brook, IL",78451
34023001410,"Edison, NJ",78447
48113007812,"Lake Highlands, Dallas, TX",78435
34023006607,"East Brunswick, NJ",78431
36059411902,"Lynbrook, NY",78430
36059415500,"North Wantagh, Seaford, NY",78429
42003422000,"Pittsburgh, PA",78424
51059460200,"Vienna, VA",78413
8005005629,"Centennial, CO",78405
17097864602,"Lake Forest, IL",78367
17031819900,"Western Springs, IL",78324
36119009600,"Highlands, White Plains, NY",78323
34035053707,"Somerset County, NJ",78315
34039036302,"Clark, NJ",78300
24005403801,"Baltimore County, MD",78198
6059062900,"Newport Beach, CA",78194
31055007515,"West Omaha, Omaha, NE",78194
34003061300,"Wyckoff, NJ",78172
9001030100,"Darien, CT",78163
34035054202,"Skillman, Montgomery, NJ",78155
9001010201,"Greenwich, CT",78153
31055007441,"West Omaha, Omaha, NE",78129
24005408302,"Lutherville-Timonium, MD",78121
6085511909,"South San Jose, San Jose, CA",78116
36103110401,"Huntington, NY",78082
36081092800,"Queens County, NY",78048
36059519703,"Plainview, NY",78038
34031246201,"Wayne, NJ",78027
34039037700,"Summit, NJ",78006
25023501201,"Hingham, MA",77999
36059518800,"Syosset, NY",77985
34003061200,"Wyckoff, NJ",77985
34003061400,"Wyckoff, NJ",77983
36103112211,"Dix Hills, NY",77972
24027602305,"Ellicott City, MD",77955
36059405800,"Garden City, NY",77951
42091205502,"Wynnewood, PA",77942
6037262302,"Brentwood, Los Angeles, CA",77935
34039037601,"Springfield Township, NJ",77914
6085511704,"Los Altos Hills, CA",77908
26125192500,"Hawthorn Hills, Rochester Hills, MI",77887
48157674200,"Sweetwater, Sugar Land, TX",77887
39061024400,"Cincinnati, OH",77875
6081605600,"Country Club Manor, Hillsborough, CA",77870
42003474201,"Pittsburgh, PA",77859
42091204900,"Villanova, PA",77859
34037373100,"Sparta Township, NJ",77849
17097864512,"Long Grove, IL",77842
36119013104,"Chappaqua, NY",77842
17031800200,"Glencoe, IL",77840
24005490500,"Towson, MD",77836
55089660304,"Mequon, WI",77828
17097865600,"Braeside, Highland Park, IL",77817
17043845901,"Burr Ridge, IL",77814
17031808600,"Glenview, IL",77810
17097865502,"Highland Park, IL",77806
25017334300,"Reading, MA",77804
34027046400,"Mendham, NJ",77758
51059481701,"Oakton, VA",77752
17031804102,"Palatine, IL",77746
34027045501,"Succasunna, Roxbury Township, NJ",77735
17031800800,"Northfield, IL",77725
48339691000,"Spring, TX",77724
48085031648,"Willow Bend, Plano, TX",77700
42029303901,"West Chester, PA",77683
26125196600,"Troy, MI",77675
34013020600,"Livingston, NJ",77653
48201250900,"Kingwood, Houston, TX",77652
53033024602,"Mercer Island, WA",77640
6013345113,"Danville, CA",77640
25021403100,"Needham, MA",77601
13089020100,"Morningside-Lenox Park, Atlanta, GA",77586
39035179102,"Pepper Pike, OH",77577
21067004006,"Hartland Homeowners, Lexington, KY",77567
17097863603,"Libertyville, IL",77558
36059302102,"Roslyn Heights, NY",77558
6081605200,"Easton Addition, Burlingame, CA",77556
34023006605,"East Brunswick, NJ",77532
13121010108,"Atlanta, GA",77519
36059519601,"Plainview, NY",77499
34027045704,"Randolph, NJ",77485
25017366202,"Cochituate, Wayland, MA",77448
51510200202,"Seminary Hill, Alexandria, VA",77445
48201340301,"Clear Lake, Houston, TX",77434
42091201409,"Maple Glen, PA",77427
20091050800,"Mission Hills, KS",77393
25017374800,"Auburndale, Newton, MA",77389
24031700607,"North Potomac, MD",77388
36085027900,"Richmond County, NY",77364
17043846106,"Naperville, IL",77335
48113019800,"Park Cities, Dallas, TX",77324
6001443200,"Vineyards - Avalon, Fremont, CA",77296
36061015002,"Upper East Side, New York, NY",77285
34025809704,"Marlboro Township, NJ",77277
36059302800,"North New Hyde Park, NY",77274
36119002103,"Crestwood, Yonkers, NY",77265
25009254401,"Andover, MA",77263
36059415402,"Bellmore, NY",77262
36103112102,"Dix Hills, NY",77253
36059301900,"Manhasset, NY",77231
34023006606,"East Brunswick, NJ",77216
48201412300,"Southwest Houston, Houston, TX",77208
6085510500,"North Los Altos, Los Altos, CA",77176
17031800300,"Winnetka, IL",77159
9001090100,"Trumbull, CT",77157
20091053302,"Leawood South, Leawood, KS",77153
13121009802,"Buckhead, Atlanta, GA",77143
25021414200,"Sharon, MA",77134
40143007638,"Tulsa, OK",77116
39049006236,"The Woods of Dublin, Dublin, OH",77113
36119009703,"White Plains, NY",77108
17043845200,"Hinsdale, IL",77107
25017361300,"Concord, MA",77102
36103135103,"Commack, NY",77100
9001090600,"Trumbull, CT",77098
29189217500,"St. Louis, MO",77090
6085507401,"Golden Triangle, Saratoga, CA",77076
48453001751,"Northwest Hills Northwest Oaks, Austin, TX",77070
36059302400,"Albertson, NY",77054
24031706011,"Rockville, MD",77051
36059302502,"Old Westbury, NY",77030
34003020200,"Franklin Lakes, NJ",77023
34035052400,"Basking Ridge, Bernards, NJ",77015
36059404600,"Floral Park, NY",77013
37183051501,"North Hills, Raleigh, NC",76997
51059480402,"Great Falls, VA",76977
34003022100,"Glen Rock, NJ",76973
9001060300,"Fairfield, CT",76963
34031246002,"Wayne, NJ",76963
26125196800,"Troy, MI",76962
48201420900,"Southwest Houston, Bellaire, TX",76957
37119002701,"Myers Park, Charlotte, NC",76950
47037018500,"Belle Meade Links, Nashville, TN",76949
18003011608,"Fort Wayne, IN",76944
55089660303,"Mequon, WI",76931
8005006705,"Englewood, CO",76924
48439113908,"Southlake, TX",76917
51059480300,"McLean, VA",76911
12011042400,"East Fort Lauderdale, Fort Lauderdale, FL",76868
36103112204,"Melville, NY",76862
36059520100,"Old Bethpage, NY",76837
9001020400,"North Stamford, Stamford, CT",76834
36081097300,"Queens County, NY",76834
6001426100,"Piedmont, CA",76832
42029300107,"Malvern, PA",76832
36059519801,"Plainview, NY",76827
6037265420,"Westwood, Los Angeles, CA",76807
48113020600,"Northwest Dallas, Dallas, TX",76799
42029302804,"West Chester, PA",76799
39035196300,"Moreland Hills, OH",76795
34027043303,"Morristown, NJ",76788
6037670500,"Rolling Hills, CA",76786
36119013202,"Briarcliff Manor, NY",76783
25021405100,"Dover, MA",76771
36047065400,"Kings County, NY",76757
9001045300,"Wilton, CT",76750
36119013103,"Millwood, NY",76743
17097864903,"Deerfield, IL",76736
9001050100,"Westport, CT",76725
24027602304,"Ellicott City, MD",76720
24031700608,"Rockville, MD",76689
9001245500,"Ridgefield, CT",76687
34003024100,"Old Tappan, NJ",76682
36119006700,"New Rochelle, NY",76675
48201553801,"Spring Creek Oaks, Spring, TX",76659
34023001415,"Edison, NJ",76656
17031801200,"Wilmette, IL",76637
34003040002,"Oradell, NJ",76623
42091200104,"Montgomery County, PA",76618
34007603503,"Willowdale, Cherry Hill, NJ",76617
42029300202,"Berwyn, PA",76598
34025803300,"Holmdel, NJ",76594
6013346102,"Alamo, CA",76588
42129802103,"Murrysville, PA",76571
13121009700,"Buckhead, Atlanta, GA",76564
17197880118,"Naperville, IL",76557
31055006704,"Central Omaha, Omaha, NE",76556
17043846205,"Naperville, IL",76551
36103110102,"Cold Spring Harbor, NY",76532
34027045703,"Mount Freedom, Randolph, NJ",76515
13121009102,"Buckhead, Atlanta, GA",76491
36119007600,"Rye, NY",76478
25017373600,"Chestnut Hill, Newton, MA",76463
34035053905,"Belle Mead, Montgomery, NJ",76452
48085031645,"Glenhollow Estates, Plano, TX",76440
17031824120,"Orland Park, IL",76434
34003015100,"Englewood, NJ",76420
20091053009,"White Fox Estates, Overland Park, KS",76413
34003053200,"Upper Saddle River, NJ",76409
17031819700,"La Grange, IL",76400
6085507500,"Saratoga, CA",76399
34035052203,"Warren, NJ",76394
34007603507,"Cherry Hill, NJ",76384
9001020700,"Newfield - Westover - Turn of River, Stamford, CT",76377
36047075800,"Kings County, NY",76374
36119008602,"Purchase, Harrison, NY",76364
48085031649,"Old Shepard Place, Plano, TX",76356
36103111300,"Huntington, NY",76349
34005702908,"Mount Laurel, NJ",76345
42091201006,"North Wales, PA",76343
34003044100,"Ramsey, NJ",76333
24005490400,"Towson, MD",76317
20091053414,"Lionsgate, Overland Park, KS",76301
17043842602,"Wheaton, IL",76296
34013020902,"Roseland, NJ",76268
25009254402,"Andover, MA",76231
34039036500,"Westfield, NJ",76227
12021010215,"Pelican Bay, Naples, FL",76213
36059519802,"Plainview, NY",76185
38089964000,"Belfield, ND",76184
34035053904,"Belle Mead, Montgomery, NJ",76160
39041011412,"Dublin, OH",76152
19153011026,"West Des Moines, IA",76136
48201430800,"Westside, Houston, TX",76132
39035179101,"Pepper Pike, OH",76129
34025809200,"Sea Girt, NJ",76126
34023008700,"Cranbury, Cranbury Township, NJ",76118
36059521400,"Massapequa, NY",76102
34039036200,"Clark, NJ",76090
26125152600,"Birmingham, MI",76088
34013020700,"Livingston, NJ",76083
48113013500,"Northwest Dallas, Dallas, TX",76077
36119012101,"Pleasantville, NY",76075
36005029301,"Bronx County, NY",76066
31109003718,"Lincoln, NE",76065
6001442000,"Kimber - Gomes, Fremont, CA",76053
36061013000,"Lenox Hill, New York, NY",76052
34027044000,"Chatham Township, NJ",76048
51041100924,"Midlothian, VA",76047
17097863904,"Vernon Hills, IL",76042
42079216501,"Sugarloaf, PA",76039
51059460501,"Tysons, VA",76036
26125190800,"Rochester, MI",76011
42091201201,"Gwynedd Valley, PA",75993
36119005500,"Pelham, Pelham Manor, NY",75983
34023006604,"East Brunswick, NJ",75979
34035053602,"Branchburg, NJ",75967
36061016001,"Upper East Side, New York, NY",75949
1073010801,"Birmingham, AL",75946
27053026509,"Minneapolis, MN",75939
34025808701,"Wall Township, NJ",75928
51059431900,"Burke, VA",75924
36059302700,"North New Hyde Park, NY",75910
36061000900,"Lower Manhattan, New York, NY",75906
25025010701,"Back Bay West, Boston, MA",75906
34023001409,"Edison, NJ",75902
17197880305,"Naperville, IL",75883
51059491403,"Clifton, VA",75868
26125137400,"Novi, MI",75867
25017374300,"Waban, Newton, MA",75861
36119014806,"Yorktown Heights, NY",75857
34021004306,"Princeton Junction, West Windsor Township, NJ",75856
42017105506,"Morrisville, PA",75850
42003473602,"Pittsburgh, PA",75834
39035183200,"Shaker Heights, OH",75832
34003024200,"Harrington Park, NJ",75832
17097864411,"Deer Park, IL",75832
25017317202,"Chelmsford, MA",75831
17043845802,"Darien, IL",75825
48201431700,"Southwest Houston, Houston, TX",75811
34035054100,"Basking Ridge, Bernards, NJ",75806
36119006801,"Scarsdale, NY",75799
24031706005,"Rockville, MD",75792
26125188000,"Huntington Woods, MI",75791
42095010200,"Bethlehem, PA",75775
6001443105,"Cameron Hills, Fremont, CA",75769
6085507002,"Los Gatos, CA",75747
8059012034,"Morrison, CO",75736
12099005942,"Delray Beach, FL",75733
36059518400,"Syosset, NY",75729
36059301102,"Port Washington, NY",75712
48329010108,"Saddle Club South, Midland, TX",75704
36119013102,"Chappaqua, NY",75700
36087010803,"New City, NY",75698
26125167900,"Farmington Hills, MI",75691
48113007605,"Northwest Dallas, Dallas, TX",75666
42091201406,"Dresher, PA",75661
34003049001,"River Vale, NJ",75659
26161402300,"King, Ann Arbor, MI",75654
48201420800,"Southwest Houston, Houston, TX",75654
17031801605,"Northbrook, IL",75630
34027042500,"Florham Park, NJ",75618
17097863400,"Lake Forest, IL",75617
51510202001,"Old Town, Alexandria, VA",75598
42101038600,"Chestnut Hill, Philadelphia, PA",75594
6075013300,"Presidio Heights, San Francisco, CA",75593
36103134704,"Kings Park, NY",75588
34031246103,"Wayne, NJ",75575
51059492000,"Fairfax, VA",75574
34003001000,"Allendale, NJ",75564
24031706009,"Potomac, MD",75554
42003412001,"Wexford, PA",75553
9001010202,"Cos Cob, Greenwich, CT",75551
36005030900,"Bronx County, NY",75541
29189221626,"Wildwood, MO",75535
27053023700,"Countryside, Minneapolis, MN",75529
17097863500,"Lake Forest, IL",75516
24005403601,"Baltimore, MD",75513
38105953600,"Epping, ND",75511
6081612800,"Menlo Park, CA",75498
36119007700,"Rye, NY",75489
9001020500,"Newfield - Westover - Turn of River, Stamford, CT",75479
34013020901,"Essex Fells, NJ",75464
24031701002,"Rockville, MD",75460
51059470300,"McLean, VA",75452
36059518300,"Syosset, NY",75452
26125196700,"Troy, MI",75441
25021416101,"Milton, MA",75430
42045409904,"Newtown Square, PA",75420
6081612700,"Menlo Park, CA",75405
17031801902,"Glenview, IL",75402
34027045902,"Chester, NJ",75397
34027041601,"Morris Plains, NJ",75396
55133200801,"Brookfield, WI",75392
36059409500,"Levittown, NY",75383
34039036800,"Westfield, NJ",75378
36119005200,"Bronxville, NY",75364
37067002501,"Winston-Salem, NC",75357
6037670406,"Rolling Hills Estates, CA",75352
26125150700,"Bloomfield Hills, MI",75347
13121010204,"Sandy Springs, GA",75336
24031700615,"North Potomac, MD",75331
34039037100,"Cranford, NJ",75322
48157674400,"Maranatha Farms, Sugar Land, TX",75301
17097865700,"Highland Park, IL",75291
38089963900,"Dickinson, ND",75287
20091053010,"Nottingham By The Green, Overland Park, KS",75280
25017318400,"Westford, MA",75267
17197880119,"Naperville, IL",75257
24031701303,"Rockville, MD",75256
34003032102,"Mahwah, NJ",75247
36059413400,"Oceanside, NY",75243
48121021626,"Kings Gate, Plano, TX",75240
6085507702,"Cupertino, CA",75236
34007603506,"Greentree, Cherry Hill, NJ",75228
42017105009,"Southampton, PA",75209
9003462201,"Avon, CT",75188
36059405600,"Franklin Square, NY",75183
6081606500,"Baywood - Aragon, San Mateo, CA",75182
25021406101,"Medfield, Medfield, MA",75164
24005408304,"Cockeysville, MD",75163
48201541601,"Houston, TX",75157
42091201501,"Montgomery County, PA",75155
17031801607,"Glenview, IL",75150
51059481105,"Herndon, VA",75143
48439110808,"Markum Ranch, Fort Worth, TX",75141
36087011200,"West Nyack, NY",75140
19153011203,"Clive, IA",75132
48029191505,"Elm Creek, San Antonio, TX",75121
42003413100,"Wexford, PA",75120
36061014802,"Upper East Side, New York, NY",75116
12099005937,"Delray Beach, FL",75116
25017373700,"Newton Centre, Newton, MA",75104
53033024200,"Medina, WA",75103
36081114100,"Queens County, NY",75090
42029302802,"West Chester, PA",75087
19061010400,"Farley, IA",75080
51059482602,"Fairfax, VA",75080
6085504417,"Milpitas, CA",75070
42003446000,"Edgeworth, PA",75054
17031803008,"Arlington Heights, IL",75054
51059492202,"Fairfax Station, VA",75048
24031705400,"Chevy Chase, MD",75039
42029301900,"Chester Springs, PA",75033
20091053421,"Forest Glen, Overland Park, KS",75030
6037139801,"Tarzana, Los Angeles, CA",75027
17031800100,"Glencoe, IL",75024
48003950100,"Andrews, TX",75018
34007606400,"Haddonfield, NJ",75016
34027040803,"Pine Brook, Montville, NJ",75010
17097864515,"Buffalo Grove, IL",75009
24027605505,"River Hill, Clarksville, MD",74994
48113013101,"North Dallas, Dallas, TX",74994
34013020800,"Livingston, NJ",74966
34025808702,"Manasquan, NJ",74962
39049006392,"Perry Highlands, Worthington, OH",74959
25017374400,"West Newton, Newton, MA",74958
34003059200,"Westwood, NJ",74956
24003730601,"Millersville, MD",74940
48201454501,"Energy Corridor, Houston, TX",74931
17097864519,"Buffalo Grove, IL",74920
36059415802,"Wantagh, NY",74912
42091204600,"Penn Valley, PA",74911
36087013001,"Orangeburg, NY",74908
25017369000,"North Waltham, Waltham, MA",74905
24005410100,"Phoenix, MD",74904
9001035300,"New Canaan, CT",74887
51059481500,"Reston, VA",74876
42091201005,"Lansdale, PA",74874
25009254403,"Andover, MA",74873
27053023600,"Country Club, Minneapolis, MN",74869
9001010300,"Greenwich, CT",74865
10003013506,"Newark, DE",74864
36119014805,"Yorktown Heights, NY",74856
6085507600,"Saratoga, CA",74847
9001030300,"Darien, CT",74839
17089852003,"St. Charles, IL",74838
42045408400,"Haverford, PA",74837
36119010600,"Ardsley, NY",74835
9003497200,"West Hartford, CT",74816
34025810004,"Yorketown, Manalapan Township, NJ",74812
36085020804,"Richmond County, NY",74803
25017383902,"Framingham, MA",74799
36087012800,"Pearl River, NY",74785
26125150600,"Bloomfield Hills, MI",74765
34035050902,"Martinsville, Bridgewater, NJ",74758
13121011624,"Johns Creek, GA",74749
9003462101,"Avon, CT",74739
6111007406,"Oak Park, CA",74717
27053026021,"Eden Prairie, MN",74707
25013813303,"Longmeadow, MA",74705
34005700505,"Moorestown, NJ",74703
25023504102,"Norwell, MA",74701
31055007429,"Harvey Oaks, Omaha, NE",74700
6013354002,"Orinda, CA",74700
34031246202,"Wayne, NJ",74692
24031700828,"Gaithersburg, MD",74691
25017374000,"Oak Hill, Newton, MA",74690
6085510400,"North Los Altos, Los Altos, CA",74685
17031800500,"Winnetka, IL",74670
34027041200,"Mountain Lakes, NJ",74665
34019011201,"Hunterdon County, NJ",74652
36119011800,"Briarcliff Manor, NY",74649
48113007801,"North Dallas, Dallas, TX",74644
36103111900,"Huntington, NY",74641
34025801200,"Middletown, NJ",74633
17031802900,"Arlington Heights, IL",74632
34003042400,"Paramus, NJ",74623
17031804611,"Schaumburg, IL",74617
39049006321,"Reedbury, Columbus, OH",74608
42045409601,"Bryn Mawr, PA",74600
36119006802,"New Rochelle, NY",74591
42017105400,"Newtown, PA",74589
51059480501,"Herndon, VA",74580
38105953400,"Tioga, ND",74577
34025809901,"Monmouth County, NJ",74572
26125196500,"Troy, MI",74572
42091205200,"Haverford, PA",74556
6085511705,"Palo Alto, CA",74551
25023507104,"Duxbury, MA",74551
17043842601,"Wheaton, IL",74547
25021416300,"Milton, MA",74539
48303010502,"Lubbock, TX",74530
36059406300,"Garden City, NY",74526
36093032101,"Schenectady County, NY",74523
17197883516,"Frankfort, IL",74520
9001245400,"Ridgefield, CT",74509
6081608013,"Foster City, CA",74488
22071011700,"Uptown/Carrollton, New Orleans, LA",74480
48041002009,"Pebble Creek, College Station, TX",74474
34027045502,"Ledgewood, Roxbury Township, NJ",74467
6037108202,"Northridge, Los Angeles, CA",74459
34003054300,"Teaneck, NJ",74442
25021402300,"Dedham, MA",74438
9001060900,"Fairfield, CT",74429
17097864517,"Buffalo Grove, IL",74424
9001045400,"Wilton, CT",74423
34035050903,"Martinsville, Bridgewater, NJ",74411
36119012303,"Armonk, NY",74411
39011041000,"Minster, OH",74410
34025809902,"Monmouth County, NJ",74407
26125157900,"West Bloomfield Township, MI",74404
34025801500,"Lincroft, Middletown, NJ",74404
36085018100,"Richmond County, NY",74400
24031705701,"Bethesda, MD",74387
25021401100,"Brookline, MA",74385
18057110907,"Carmel, IN",74385
36087011603,"Suffern, NY",74377
18057110904,"Carmel, IN",74375
26125150200,"Bloomfield Hills, MI",74357
26125168100,"Farmington Hills, MI",74347
25021414100,"Sharon, Sharon, MA",74339
36119014909,"Westchester County, NY",74337
36059415401,"Bellmore, NY",74335
36061015001,"Upper East Side, New York, NY",74333
9001045102,"Wilton, CT",74327
